chr,midpoint,c
X,50000,0
X,150000,0
X,250000,0
X,350000,0
X,450000,0
X,550000,0
X,650000,0
X,750000,0
X,850000,0
X,950000,0
X,1050000,0.3617
X,1150000,0.3617
X,1250000,0.3617
X,1350000,0
X,1450000,0.3617
X,1550000,0.0904
X,1650000,0
X,1750000,0.1808
X,1850000,0
X,1950000,0.1808
X,2050000,0
X,2150000,0.2713
X,2250000,0.9042
X,2350000,2.6221
X,2450000,3.9784
X,2550000,2.0796
X,2650000,2.6221
X,2750000,2.17
X,2850000,1.8988
X,2950000,3.1646
X,3050000,3.4359
X,3150000,2.3509
X,3250000,3.4359
X,3350000,7.5047
X,3450000,1.085
X,3550000,3.1646
X,3650000,2.7125
X,3750000,0.9946
X,3850000,6.3292
X,3950000,5.6059
X,4050000,1.5371
X,4150000,4.973
X,4250000,1.2658
X,4350000,2.9838
X,4450000,3.255
X,4550000,3.7975
X,4650000,9.4034
X,4750000,6.058
X,4850000,5.2442
X,4950000,6.6005
X,5050000,14.4668
X,5150000,6.3292
X,5250000,9.8555
X,5350000,4.7921
X,5450000,1.9892
X,5550000,3.255
X,5650000,5.4251
X,5750000,4.7017
X,5850000,2.2604
X,5950000,1.3563
X,6050000,1.9892
X,6150000,3.6167
X,6250000,2.17
X,6350000,12.7489
X,6450000,4.1592
X,6550000,3.5263
X,6650000,3.1646
X,6750000,7.4142
X,6850000,4.7017
X,6950000,2.8934
X,7050000,2.2604
X,7150000,1.1754
X,7250000,2.0796
X,7350000,1.085
X,7450000,0.9946
X,7550000,1.085
X,7650000,3.255
X,7750000,1.8084
X,7850000,1.9892
X,7950000,2.3509
X,8050000,0.8138
X,8150000,3.4359
X,8250000,4.6113
X,8350000,3.255
X,8450000,2.8934
X,8550000,6.4197
X,8650000,9.0418
X,8750000,8.1376
X,8850000,8.7705
X,8950000,6.9622
X,9050000,4.0688
X,9150000,2.9838
X,9250000,2.8029
X,9350000,8.9513
X,9450000,7.3238
X,9550000,3.1646
X,9650000,4.2496
X,9750000,3.7975
X,9850000,2.4413
X,9950000,4.1592
X,10050000,1.5371
X,10150000,2.8029
X,10250000,5.6963
X,10350000,2.0796
X,10450000,2.2604
X,10550000,0.9946
X,10650000,1.085
X,10750000,0.8138
X,10850000,3.9784
X,10950000,3.7071
X,11050000,2.8029
X,11150000,7.5047
X,11250000,5.4251
X,11350000,1.8988
X,11450000,2.3509
X,11550000,1.7179
X,11650000,0.4521
X,11750000,0.7233
X,11850000,2.9838
X,11950000,5.6059
X,12050000,5.1538
X,12150000,2.0796
X,12250000,2.6221
X,12350000,1.8084
X,12450000,1.8988
X,12550000,5.5155
X,12650000,7.3238
X,12750000,3.888
X,12850000,3.9784
X,12950000,2.8934
X,13050000,2.5317
X,13150000,3.1646
X,13250000,3.888
X,13350000,7.3238
X,13450000,2.9838
X,13550000,1.6275
X,13650000,2.7125
X,13750000,3.3455
X,13850000,5.0634
X,13950000,2.8029
X,14050000,4.4305
X,14150000,5.1538
X,14250000,2.17
X,14350000,4.2496
X,14450000,1.8988
X,14550000,6.1484
X,14650000,12.2064
X,14750000,7.5951
X,14850000,2.0796
X,14950000,1.7179
X,15050000,3.3455
X,15150000,3.255
X,15250000,2.17
X,15350000,2.3509
X,15450000,0.7233
X,15550000,5.1538
X,15650000,5.0634
X,15750000,2.8934
X,15850000,1.9892
X,15950000,0.9042
X,16050000,13.6531
X,16150000,4.0688
X,16250000,2.7125
X,16350000,1.1754
X,16450000,8.1376
X,16550000,2.5317
X,16650000,5.0634
X,16750000,5.1538
X,16850000,3.4359
X,16950000,1.8988
X,17050000,0.9946
X,17150000,0.7233
X,17250000,2.6221
X,17350000,1.3563
X,17450000,0.7233
X,17550000,1.4467
X,17650000,2.8934
X,17750000,2.3509
X,17850000,2.7125
X,17950000,0.5425
X,18050000,1.2658
X,18150000,0.3617
X,18250000,1.4467
X,18350000,1.6275
X,18450000,1.1754
X,18550000,1.085
X,18650000,2.5317
X,18750000,1.8988
X,18850000,1.4467
X,18950000,1.3563
X,19050000,0.9946
X,19150000,3.255
X,19250000,6.5101
X,19350000,2.0796
X,19450000,4.973
X,19550000,2.3509
X,19650000,3.6167
X,19750000,4.2496
X,19850000,2.7125
X,19950000,1.4467
X,20050000,2.7125
X,20150000,2.0796
X,20250000,2.7125
X,20350000,2.8029
X,20450000,3.4359
X,20550000,1.2658
X,20650000,0.2713
X,20750000,1.085
X,20850000,5.0634
X,20950000,0.3617
X,21050000,0.9042
X,21150000,0.7233
X,21250000,1.085
X,21350000,1.7179
X,21450000,0.1808
X,21550000,0
X,21650000,0.9946
X,21750000,0.0904
X,21850000,0.5425
X,21950000,0.1808
X,22050000,0.2713
X,22150000,0.3617
X,22250000,0.0904
X,22350000,0
X,22450000,0
2L,50000,0
2L,150000,0
2L,250000,0
2L,350000,0.2346
2L,450000,0.2346
2L,550000,1.9937
2L,650000,1.4073
2L,750000,1.0555
2L,850000,2.3455
2L,950000,3.0492
2L,1050000,3.401
2L,1150000,2.8146
2L,1250000,3.6355
2L,1350000,1.7591
2L,1450000,0.7037
2L,1550000,2.4628
2L,1650000,2.9319
2L,1750000,2.2282
2L,1850000,1.7591
2L,1950000,5.3947
2L,2050000,2.4628
2L,2150000,1.6419
2L,2250000,3.6355
2L,2350000,1.6419
2L,2450000,4.691
2L,2550000,2.5801
2L,2650000,2.5801
2L,2750000,5.7465
2L,2850000,2.2282
2L,2950000,0.9382
2L,3050000,1.0555
2L,3150000,6.9192
2L,3250000,2.3455
2L,3350000,2.3455
2L,3450000,5.0428
2L,3550000,4.2219
