Mito,Cage,Vial,Count
Bei,1,1,70
Bei,1,2,40
Bei,1,3,36
Bei,1,4,66
Bei,1,5,32
Bei,1,6,36
Bei,1,7,50
Bei,1,8,49
Bei,1,9,69
Bei,1,10,61
Bei,1,11,28
Bei,1,12,36
Bei,1,13,55
Bei,1,14,68
Bei,1,15,24
Bei,1,16,39
Bei,1,17,49
Bei,1,18,74
Bei,1,19,60
Bei,1,20,50
Bei,1,21,66
Bei,1,22,59
Bei,1,23,45
Bei,1,24,78
Bei,1,25,39
Bei,1,26,74
Bei,1,27,39
Bei,1,28,53
Bei,1,29,15
Bei,1,30,72
Bei,1,31,67
Bei,1,32,32
Bei,1,33,17
Bei,1,34,67
Bei,1,35,38
Bei,1,36,71
Bei,1,37,40
Bei,1,38,73
Bei,1,39,40
Bei,1,40,49
Bei,1,41,38
Bei,1,42,45
Bei,1,43,59
Bei,1,44,48
Bei,1,45,45
Bei,2,1,61
Bei,2,2,49
Bei,2,3,50
Bei,2,4,0
Bei,2,5,62
Bei,2,6,73
Bei,2,7,74
Bei,2,8,56
Bei,2,9,67
Bei,2,10,37
Bei,2,11,74
Bei,2,12,51
Bei,2,13,41
Bei,2,14,43
Bei,2,15,12
Bei,2,16,51
Bei,2,17,11
Bei,2,18,67
Bei,2,19,83
Bei,2,20,54
Bei,2,21,57
Bei,2,22,59
Bei,2,23,24
Bei,2,24,55
Bei,2,25,56
Bei,2,26,45
Bei,2,27,61
Bei,2,28,64
Bei,2,29,53
Bei,2,30,45
Bei,2,31,69
Bei,2,32,69
Bei,2,33,28
Bei,2,34,87
Bei,2,35,73
Bei,2,36,48
Bei,2,37,29
Bei,2,38,75
Bei,2,39,67
Bei,2,40,34
Bei,2,41,22
Bei,2,42,44
Bei,2,43,65
Bei,2,44,77
Bei,2,45,36
Bei,3,1,64
Bei,3,2,5
Bei,3,3,70
Bei,3,4,58
Bei,3,5,17
Bei,3,6,73
Bei,3,7,82
Bei,3,8,70
Bei,3,9,40
Bei,3,10,57
Bei,3,11,63
Bei,3,12,31
Bei,3,13,25
Bei,3,14,77
Bei,3,15,62
Bei,3,16,66
Bei,3,17,40
Bei,3,18,54
Bei,3,19,25
Bei,3,20,57
Bei,3,21,6
Bei,3,22,49
Bei,3,23,48
Bei,3,24,41
Bei,3,25,57
Bei,3,26,52
Bei,3,27,32
Bei,3,28,64
Bei,3,29,40
Bei,3,30,58
Bei,3,31,65
Bei,3,32,20
Bei,3,33,0
Bei,3,34,56
Bei,3,35,35
Bei,3,36,56
Bei,3,37,53
Bei,3,38,69
Bei,3,39,84
Bei,3,40,62
Bei,3,41,70
Bei,3,42,42
Bei,3,43,45
Bei,3,44,93
Bei,3,45,54
Bei,4,1,28
Bei,4,2,6
Bei,4,3,0
Bei,4,4,48
Bei,4,5,27
Bei,4,6,28
Bei,4,7,71
Bei,4,8,28
Bei,4,9,7
Bei,4,10,24
Bei,4,11,41
Bei,4,12,43
Bei,4,13,56
Bei,4,14,13
Bei,4,15,60
Bei,4,16,6
Bei,4,17,12
Bei,4,18,40
Bei,4,19,51
Bei,4,20,45
Bei,4,21,59
Bei,4,22,7
Bei,4,23,21
Bei,4,24,29
Bei,4,25,37
Bei,4,26,61
Bei,4,27,40
Bei,4,28,81
Bei,4,29,44
Bei,4,30,39
