Mito,Cage,Gen,Weight (g),,,,,,
Bei,1,F09,4.9,,,,,,
Bei,2,F09,2.1,,,,,,
Bei,3,F09,3.3,,,,,,
Bei,4,F09,2,,,,,,
Bei,5,F09,1.8,,,,,,
Yak,1,F09,2.1,,,,,,
Yak,2,F09,1.9,,,,,,
Yak,3,F09,2.1,,,,,,
Yak,4,F09,2.8,,,,,,
Yak,5,F09,2.8,,,,,,
Zim,1,F09,2.3,,,,,,
Zim,2,F09,2.2,,,,,,
Zim,3,F09,2.6,,,,,,
Zim,4,F09,2.5,,,,,,
Zim,5,F09,4.1,,,,,,
Bei,1,F10,4.3,,,,,,
Bei,2,F10,1.9,,,,,,
Bei,3,F10,2.9,,,,,,
Bei,4,F10,1.2,,,,,,
Bei,5,F10,1.1,,,,,,
Yak,1,F10,1.3,,,,,,
Yak,2,F10,1.1,,,,,,
Yak,3,F10,1.3,,,,,,
Yak,4,F10,2.5,,,,,,
Yak,5,F10,3,,,,,,
Zim,1,F10,2.5,,,,,,
Zim,2,F10,1.9,,,,,,
Zim,3,F10,2.3,,,,,,
Zim,4,F10,1.1,,,,,,
Zim,5,F10,3.17,,,,,,
Bei,1,F11,5.88,,,,,,
Bei,2,F11,4.92,,,,,,
Bei,3,F11,5.92,,,,,,
Bei,4,F11,4.09,,,,,,
Bei,5,F11,3.71,,,,,,
Yak,1,F11,4.99,,,,,,
Yak,2,F11,4.08,,,,,,
Yak,3,F11,4.97,,,,,,
Yak,4,F11,6.19,,,,,,
Yak,5,F11,5.97,,,,,,
Zim,1,F11,4.72,,,,,,
Zim,2,F11,4.11,,,,,,
Zim,3,F11,4.53,,,,,,
Zim,4,F11,3.65,,,,,,
Zim,5,F11,6.05,,,,,,
Bei,1,F12,6.47,,,,,,
Bei,2,F12,6.09,,,,,,
Bei,3,F12,5.57,,,,,,
Bei,4,F12,5.73,,,,,,
Bei,5,F12,5.14,,,,,,
Yak,1,F12,5.01,,,,,,
Yak,2,F12,4.6,,,,,,
Yak,3,F12,5.92,,,,,,
Yak,4,F12,5.2,,,,,,
Yak,5,F12,5.32,,,,,,
Zim,1,F12,4.48,,,,,,
Zim,2,F12,5.23,,,,,,
Zim,3,F12,5.25,,,,,,
Zim,4,F12,6.83,,,,,,
Zim,5,F12,5.32,,,,,,
Bei,1,F13,6.83,,,,,,
Bei,2,F13,5.08,,,,,,
Bei,3,F13,4.65,,,,,,
Bei,4,F13,5.07,,,,,,
Bei,5,F13,5.49,,,,,,
Yak,1,F13,6.28,,,,,,
Yak,2,F13,5.2,,,,,,
Yak,3,F13,4.35,,,,,,
Yak,4,F13,4.59,,,,,,
Yak,5,F13,4.48,,,,,,
Zim,1,F13,4.58,,,,,,
Zim,2,F13,5.02,,,,,,
Zim,3,F13,4.31,,,,,,
Zim,4,F13,5.66,,,,,,
Zim,5,F13,5.22,,,,,,
Bei,1,F14,3.42,,,,,,
Bei,2,F14,4.61,,,,,,
Bei,3,F14,4.26,,,,,,
Bei,4,F14,4.35,,,,,,
Bei,5,F14,3.25,,,,,,
Yak,1,F14,3.47,,,,,,
Yak,2,F14,1.93,,,,,,
Yak,3,F14,3.14,,,,,,
Yak,4,F14,3.75,,,,,,
Yak,5,F14,3.26,,,,,,
Zim,1,F14,4,,,,,,
Zim,2,F14,3.98,,,,,,
Zim,3,F14,3.57,,,,,,
Zim,4,F14,3.31,,,,,,
Zim,5,F14,4,,,,,,
Bei,1,F15,2.89,,,,,,
Bei,2,F15,4.44,,,,,,
Bei,3,F15,4.34,,,,,,
